,Transfer Station NE 63rd Ave,"MonteochaPark","CR 1491HighSprings",Laperriere Residence High Springs,"Woodlands Subdivision TowerRoad","SE 171 StHawthorne",Bowman Residence Archer,Micanopy,"HawthorneChix Site","UF AES NW 71St",
Site:,1,2,3,4,5,6,7,8,9,10,Totals
Aedes albopictus,,1,2,,,,,,,,3
A. aegypti,,,,,,,,,,,0
A. vexans,,,,,,,,,,,0
Ochlerotatus atlanticus,,,,,,,1,,,,1
O. dupreei,,,,,,,,,,,0
O. fulvus pallens,,,,,,,,,,,0
O. infirmatus,,,,,,1,,,4,,5
O.  mitchellae,,,,,,,,,,,0
O. sollicitans,,,,,,,,,,,0
O.  taeniorhynchus,,,,,,,,,,,0
O.  triseriatus,,,,,,,,,,,0
Anopheles crucians,30,,,,,15,,56,16,24,141
A. quadrimaculatus,,,,,,,,,,,0
Culex  erraticus,,,,,,,,,10,,10
C. nigripalpus,1,,,,,3,,,12,,16
C.  quinquefasciatus,,,,,,,,,4,,4
C. restuans,,,,,,,,,,,0
C.  salinarius,2,,,,,,,,,,2
Culiseta  inornata,,,,,,,,,,,0
Culiseta  melanura,,,,,,,,,,,0
Coquillettidia perturbans,7,,1,,,27,6,488,118,2,649
Mansonia  titillans,,,,,,,,,,,0
M. dyari,2,1,,,,,1,24,30,6,64
Psorophora  ciliata,,,,,,,,,,,0
P. columbiae,,,,,,,,,,,0
P. ferox,,2,,,,,,,,,2
P. howardii,,,,,,,,,,,0
Toxorhynchites rutilus,,,,,,,,,,,0
Uranotaenia  sapphirina,,,,,,,,,,,0
U.  lowii,,,,,,,,,,,0
Wyeomyia  mitchellii,,,,,,,,,,,0
W.  vanduzeei,,,,,,,,,,,0
A. Punctipennis,,,1,,,,,,,1,2
Totals,42,4,4,0,0,46,8,568,194,33,899
,,,,,,,,,,,