"Clarke Mosquito Control - FL CEMMMosquito Specimen Collections--Alachua County, FL",,,,,,,,,,,
5/11/2016,,,,,,,,,,,
,Transfer Station NE 63rd Ave,"MonteochaPark","CR 1491HighSprings",Laperriere Residence High Springs,"Woodlands Subdivision TowerRoad","SE 171 StHawthorne",Bowman Residence Archer,Micanopy,"HawthorneChix Site","UF AES NW 71St",
Site:,1,2,3,4,5,6,7,8,9,10,Totals
Aedes albopictus,,1,1,,,,,,,,2
A. aegypti,,,,,,,,,,,0
A. vexans,,2,1,,,,2,,,,5
Ochlerotatus atlanticus,,,1,,,,,,,,1
O. dupreei,,,,,,,,,,,0
O. fulvus pallens,,,,,,,,,,,0
O. infirmatus,,,,,,,,,,,0
O.  mitchellae,,,,,,,,,,,0
O. sollicitans,,,,,,,,,,,0
O.  taeniorhynchus,,,,,,,,,,,0
O.  triseriatus,,,,,,,,,,,0
Anopheles crucians,22,14,,,,1,,18,48,1,104
A. quadrimaculatus,,4,,,,,,,16,,20
Culex  erraticus,,1,,,,,,,,,1
C. nigripalpus,2,,,,1,,4,1,32,1,41
C.  quinquefasciatus,,,,,,,,,,,0
C. restuans,,,1,,,,,,,,1
C.  salinarius,,3,,,,,,,,,3
Culiseta  inornata,,,,,,,,,,,0
Culiseta  melanura,,,,,,,,,,,0
Coquillettidia perturbans,3,5,1,,6,12,131,125,392,,675
Mansonia  titillans,,,,,,,,,,,0
M. dyari,1,3,,,,,3,1,8,,16
Psorophora  ciliata,,,,,,,,,,,0
P. columbiae,,,,,,,,,,,0
P. ferox,,,,,,,,,,,0
P. howardii,,,,,,,,,,,0
Toxorhynchites rutilus,,,,,,,,,,,0
Uranotaenia  sapphirina,,1,,1,,,,,,,2
U.  lowii,,,,,,,,,,,0
Wyeomyia  mitchellii,,,,,,,,,,,0
W.  vanduzeei,,,,,,,,,,,0
A. Punctipennis,,2,,,,,,,,,2
Totals,28,36,5,1,7,13,140,145,496,2,873